GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.001G212000	NA	Medium Expression	serine hydroxymethyltransferase 6
Potri.003G027400	NA	High Expression	unknown
Potri.004G154000	NA	Medium Expression	Protein kinase superfamily protein
Potri.015G010200	Medium Expression	NA	acyl-CoA binding protein 2
Potri.001G214800	NA	Low Expression	ubiquitin-specific protease 8
Potri.004G203100	NA	Medium Expression	Tubulin/FtsZ family protein
Potri.018G123400	NA	Low Expression	unknown
Potri.014G177800	High Expression	NA	Protein of unknown function, DUF538
Potri.016G085900	NA	High Expression	ROP interactive partner 3
Potri.017G017300	NA	High Expression	Thioredoxin superfamily protein
Potri.014G160800	NA	High Expression	Protein of unknown function (DUF1664)
Potri.019G128800	NA	Medium Expression	PAP/OAS1 substrate-binding domain superfamily
Potri.018G085300	Not Expressed	Not Expressed	RNA-binding CRS1 / YhbY (CRM) domain-containing protein
Potri.018G147400	NA	Medium Expression	Pseudouridine synthase family protein
Potri.014G001100	NA	Medium Expression	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Potri.008G044100	Medium Expression	NA	unknown
Potri.003G030900	NA	High Expression	Actin-like ATPase superfamily protein
Potri.001G086800	Medium Expression	Low Expression	methyltransferases;copper ion binding
Potri.007G089200	NA	Low Expression	Protein of unknown function (DUF581)
Potri.012G033300	Medium Expression	NA	Ubiquitin-associated/translation elongation factor EF1B protein
Potri.011G161900	Medium Expression	NA	maternal effect embryo arrest 22
Potri.017G050500	NA	High Expression	dicarboxylate transport 2.1
Potri.001G222300	Medium Expression	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Potri.002G217000	Medium Expression	NA	Kinase-related protein of unknown function (DUF1296)
Potri.004G162500	High Expression	Medium Expression	global transcription factor group A2
Potri.007G069600	NA	High Expression	glutamine synthase clone R1
Potri.019G079300	NA	High Expression	Sec14p-like phosphatidylinositol transfer family protein
Potri.003G053500	NA	Low Expression	unknown
Potri.005G160500	Not Expressed	NA	tracheary element differentiation-related 6
Potri.011G050800	NA	Medium Expression	fatty acid desaturase family protein
Potri.005G165000	Medium Expression	Medium Expression	Trm112p-like protein
Potri.003G062600	NA	Low Expression	O-fucosyltransferase family protein
Potri.012G131000	NA	High Expression	DEAD box RNA helicase (PRH75)
Potri.016G063200	NA	High Expression	ribosomal protein 5B
Potri.008G015700	NA	Medium Expression	unknown
Potri.010G001700	High Expression	High Expression	Nucleotide-sugar transporter family protein
Potri.001G387600	High Expression	High Expression	SecY protein transport family protein
Potri.013G099800	High Expression	Medium Expression	KH domain-containing protein
Potri.001G275200	NA	Medium Expression	Rho GTPase activation protein (RhoGAP) with PH domain
Potri.002G019200	NA	High Expression	unknown
Potri.018G082400	Not Expressed	NA	RHO guanyl-nucleotide exchange factor 8
Potri.008G224900	NA	Low Expression	translocon at the outer envelope membrane of chloroplasts 159
Potri.003G086400	NA	High Expression	RNA helicase, putative
Potri.001G274900	NA	High Expression	protein kinases;ubiquitin-protein ligases
Potri.014G043100	NA	High Expression	cytochrome P450, family 721, subfamily A, polypeptide 1
Potri.018G062200	Not Expressed	NA	Thioredoxin superfamily protein
Potri.001G413500	NA	Medium Expression	Stress responsive alpha-beta barrel domain protein
Potri.005G162900	NA	Medium Expression	phosphotyrosyl phosphatase activator (PTPA) family protein
Potri.005G039700	NA	Not Expressed	unknown
Potri.013G103400	NA	Medium Expression	adenosine monophosphate kinase
Potri.007G095600	NA	Medium Expression	unknown
Potri.001G423600	NA	Medium Expression	unknown
Potri.001G127300	High Expression	High Expression	RHO guanyl-nucleotide exchange factor 14
Potri.001G070800	NA	Low Expression	SNARE associated Golgi protein family
Potri.013G154300	NA	Medium Expression	translocon at the inner envelope membrane of chloroplasts 110
Potri.010G098000	Medium Expression	Medium Expression	Remorin family protein
Potri.011G074100	Low Expression	Low Expression	unknown
Potri.014G148900	NA	High Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.014G060500	NA	Low Expression	GRAS family transcription factor
Potri.007G014200	NA	High Expression	histone H1-3
Potri.013G102100	High Expression	High Expression	Thioredoxin superfamily protein
Potri.006G150900	NA	High Expression	Alkaline-phosphatase-like family protein
Potri.010G045800	NA	High Expression	Ribosomal protein L18e/L15 superfamily protein
Potri.002G226900	NA	Medium Expression	Acid phosphatase/vanadium-dependent haloperoxidase-related protein
Potri.001G281000	NA	Not Expressed	Protein of unknown function (DUF640)
Potri.001G091300	NA	Medium Expression	unknown
Potri.018G070400	High Expression	NA	nudix hydrolase homolog 19
Potri.002G215700	NA	Medium Expression	Exonuclease family protein
Potri.017G042500	High Expression	Medium Expression	RNA-binding KH domain-containing protein
Potri.017G069600	NA	Medium Expression	uridine kinase/uracil phosphoribosyltransferase 1
Potri.019G036600	NA	Medium Expression	O-fucosyltransferase family protein
Potri.001G338200	NA	Medium Expression	ATP12 protein-related
Potri.008G200800	NA	High Expression	mitogen-activated protein kinase 16
Potri.009G016500	Not Expressed	Not Expressed	photosystem II reaction center protein C
Potri.002G105600	High Expression	NA	K-box region and MADS-box transcription factor family protein
Potri.001G088400	Low Expression	NA	RING/U-box superfamily protein
Potri.004G015200	NA	Low Expression	Met-10+ like family protein / kelch repeat-containing protein
Potri.004G058300	NA	Medium Expression	CBL-interacting protein kinase 12
Potri.019G028700	NA	Not Expressed	ribosomal protein S2
Potri.010G167300	Low Expression	Low Expression	AGAMOUS-like 30
Potri.019G081600	NA	Medium Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G103300	NA	Not Expressed	acid-amino acid ligases;ligases;ATP binding;ATP binding;ligases
Potri.017G140600	Not Expressed	Not Expressed	plastid-encoded CLP P
Potri.003G038600	NA	Medium Expression	unknown
Potri.001G408800	NA	High Expression	ubiquitin-specific protease 14
Potri.010G014000	NA	Medium Expression	BTB/POZ domain-containing protein
Potri.010G065900	NA	Medium Expression	TLD-domain containing nucleolar protein
Potri.019G018600	Low Expression	Not Expressed	Protein of unknown function (DUF640)
Potri.001G208200	NA	High Expression	protein-protein interaction regulator family protein
Potri.017G056800	NA	Medium Expression	unknown
Potri.003G112900	NA	Low Expression	Pentapeptide repeat-containing protein
Potri.001G167900	NA	High Expression	Cytochrome P450 superfamily protein
Potri.005G071300	Medium Expression	NA	RING/U-box superfamily protein
Potri.005G124400	Not Expressed	NA	roline-rich extensin-like receptor kinase 4
Potri.001G215400	NA	Medium Expression	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Potri.005G240100	NA	High Expression	Transducin/WD40 repeat-like superfamily protein
Potri.002G085400	NA	Medium Expression	Peptidase M20/M25/M40 family protein
Potri.010G118200	NA	Not Expressed	alpha-galactosidase 2
Potri.004G093400	Not Expressed	Not Expressed	MATE efflux family protein
Potri.012G000800	NA	High Expression	regulatory components of ABA receptor 3
Potri.006G060600	High Expression	NA	unknown
Potri.016G125500	NA	High Expression	TRICHOME BIREFRINGENCE-LIKE 34
Potri.011G053900	Low Expression	NA	Ribosomal protein S5 family protein
Potri.012G088000	NA	Low Expression	unknown
Potri.016G139500	NA	Medium Expression	unknown
Potri.002G108600	High Expression	High Expression	Phosphoglycerate mutase family protein
Potri.012G119200	NA	Medium Expression	SBP (S-ribonuclease binding protein) family protein
Potri.012G141100	NA	Not Expressed	shortage in chiasmata 1
Potri.003G005900	NA	High Expression	shaggy-like protein kinase 41
Potri.011G001100	Low Expression	Low Expression	pentatricopeptide repeat 336
Potri.006G202200	NA	High Expression	syntaxin of plants 121
Potri.004G157000	NA	High Expression	F-box family protein
Potri.018G140400	NA	Not Expressed	UDP-Glycosyltransferase superfamily protein
Potri.010G069900	NA	High Expression	Ribosomal protein L14
Potri.013G141600	Low Expression	Low Expression	unknown
Potri.003G018900	High Expression	NA	UDP-glucose:glycoprotein glucosyltransferases;transferases, transferring hexosyl groups;transferases, transferring glycosyl groups
Potri.013G139400	Not Expressed	Low Expression	Cytochrome C assembly protein
Potri.014G072600	NA	High Expression	WD-40 repeat family protein / beige-related
Potri.002G096800	Low Expression	NA	myb domain protein 93
Potri.016G064600	NA	Medium Expression	SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-related
Potri.010G158900	NA	High Expression	plasmodesmata callose-binding protein 3
Potri.018G053000	Medium Expression	Medium Expression	Protein of unknown function (DUF761)
Potri.013G138800	Not Expressed	Low Expression	NADH-Ubiquinone/plastoquinone (complex I) protein
Potri.005G076300	NA	Medium Expression	ARM-repeat/Tetratricopeptide repeat (TPR)-like protein
Potri.018G016100	Low Expression	Low Expression	phloem protein 2-B1
Potri.004G112300	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.018G065400	NA	Not Expressed	growth-regulating factor 5
Potri.T003400	NA	Medium Expression	S-locus lectin protein kinase family protein
Potri.001G270200	Medium Expression	Low Expression	unknown
Potri.018G088000	NA	Medium Expression	6-phosphogluconate dehydrogenase family protein
Potri.010G069000	Medium Expression	NA	phosphate 1
Potri.011G078800	NA	High Expression	Kinase-related protein of unknown function (DUF1296)
Potri.011G004200	Low Expression	NA	Galactosyltransferase family protein
Potri.005G077300	NA	High Expression	related to AP2 4
Potri.004G143500	NA	High Expression	Protein of unknown function (DUF1645)
Potri.006G117300	NA	Medium Expression	aspartate/glutamate/uridylate kinase family protein
Potri.001G013600	Low Expression	Low Expression	DNA-binding bromodomain-containing protein
Potri.017G038500	High Expression	Medium Expression	TraB family protein
Potri.011G044900	Medium Expression	Medium Expression	HAL2-like
Potri.004G044900	Not Expressed	Not Expressed	ralf-like 4
Potri.002G204400	High Expression	NA	NAD(P)-binding Rossmann-fold superfamily protein
Potri.014G016800	NA	High Expression	interferon-related developmental regulator family protein / IFRD protein family
Potri.005G090800	NA	Medium Expression	RING/U-box superfamily protein
Potri.012G017200	NA	Medium Expression	RNA-binding KH domain-containing protein
Potri.017G027000	NA	Medium Expression	SKP1/ASK-interacting protein 16
Potri.005G248500	NA	High Expression	OPC-8:0 CoA ligase1
Potri.003G107800	NA	High Expression	Aconitase/3-isopropylmalate dehydratase protein
Potri.009G044900	Medium Expression	NA	RNA recognition motif (RRM)-containing protein
Potri.002G260700	NA	Medium Expression	flavodoxin family protein / radical SAM domain-containing protein
Potri.007G097100	NA	High Expression	homeobox protein 16
Potri.018G067000	NA	Not Expressed	1-amino-cyclopropane-1-carboxylate synthase 7
Potri.015G130800	NA	Low Expression	unknown
Potri.019G043600	Medium Expression	Medium Expression	HXXXD-type acyl-transferase family protein
Potri.007G091600	Low Expression	Low Expression	VQ motif-containing protein
Potri.004G229700	NA	High Expression	EMBRYO DEFECTIVE 140
Potri.015G000400	NA	Medium Expression	Autophagy-related protein 13
Potri.011G087600	NA	Not Expressed	unknown
Potri.001G419100	Medium Expression	NA	Ypt/Rab-GAP domain of gyp1p superfamily protein
Potri.017G058500	NA	Medium Expression	unknown
Potri.011G098100	Medium Expression	Medium Expression	D111/G-patch domain-containing protein
Potri.009G005900	Medium Expression	NA	DNA ligase 1
Potri.003G049700	Medium Expression	NA	Protein kinase family protein
Potri.001G355600	NA	High Expression	mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase
Potri.014G168000	Not Expressed	Not Expressed	ATPase subunit 6-1
Potri.008G219200	NA	High Expression	TOXICOS EN LEVADURA 2
Potri.003G000500	NA	High Expression	cullin-associated and neddylation dissociated
Potri.010G013500	NA	Medium Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.013G142600	Not Expressed	Not Expressed	ribosomal protein S2
Potri.004G066700	NA	Medium Expression	unknown
Potri.005G091600	NA	Medium Expression	hydroxymethylbilane synthase
Potri.004G073300	NA	Medium Expression	Homeodomain-like superfamily protein
Potri.017G149800	NA	High Expression	phosphatase-related
Potri.004G001800	NA	Medium Expression	unknown
Potri.017G087600	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.013G078600	NA	Medium Expression	pfkB-like carbohydrate kinase family protein
Potri.005G164100	NA	Medium Expression	methyl-CPG-binding domain 8
Potri.015G060000	High Expression	High Expression	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
Potri.006G053400	NA	High Expression	guanylate kinase
Potri.007G094100	NA	Medium Expression	C2H2 and C2HC zinc fingers superfamily protein
Potri.001G174500	Medium Expression	Medium Expression	HCO3- transporter family
Potri.002G107700	NA	High Expression	phosphoenolpyruvate carboxykinase 1
Potri.005G120400	Not Expressed	NA	Phosphatidic acid phosphatase (PAP2) family protein
Potri.008G143700	Medium Expression	NA	unknown
Potri.006G077200	NA	High Expression	Ribosomal protein L11 family protein
Potri.008G045400	NA	Medium Expression	binding;RNA binding
Potri.005G040300	NA	Medium Expression	homolog of yeast autophagy 18 (ATG18) H
Potri.017G074200	NA	Low Expression	DNAse I-like superfamily protein
Potri.013G022100	NA	Medium Expression	lipoxygenase 1
Potri.008G151200	NA	High Expression	time for coffee
Potri.018G052200	NA	Medium Expression	indeterminate(ID)-domain 7
Potri.003G178200	High Expression	NA	glutathione-disulfide reductase
Potri.004G207100	High Expression	NA	tonoplast monosaccharide transporter2
Potri.004G124600	NA	High Expression	membrane-anchored ubiquitin-fold protein 1 precursor
Potri.006G227300	NA	Low Expression	RHOMBOID-like protein 12
Potri.017G102700	NA	High Expression	cAMP-regulated phosphoprotein 19-related protein
Potri.012G088100	NA	Low Expression	Leucine-rich receptor-like protein kinase family protein
Potri.007G005300	Medium Expression	NA	N-acetyl-l-glutamate synthase 2
Potri.010G002500	Medium Expression	Medium Expression	CBL-interacting protein kinase 1
Potri.003G071200	High Expression	NA	40s ribosomal protein SA
Potri.011G057700	High Expression	High Expression	homeobox-1
Potri.008G223600	NA	Not Expressed	zinc ion binding;nucleic acid binding
Potri.016G074600	Not Expressed	NA	unknown
Potri.001G352600	NA	High Expression	double-stranded DNA-binding family protein
Potri.006G101400	NA	High Expression	Homeodomain-like superfamily protein
Potri.004G155500	NA	High Expression	unknown
Potri.015G017100	NA	Medium Expression	OBP3-responsive gene 1
Potri.004G103700	NA	High Expression	NagB/RpiA/CoA transferase-like superfamily protein
Potri.006G120800	NA	Medium Expression	ARM repeat superfamily protein
Potri.012G128100	High Expression	NA	EXORDIUM like 3
Potri.010G004700	NA	Medium Expression	DEA(D/H)-box RNA helicase family protein
Potri.001G010500	High Expression	NA	seven in absentia of Arabidopsis 2
Potri.001G067900	NA	High Expression	Ubiquinol-cytochrome C reductase iron-sulfur subunit
Potri.012G048400	Medium Expression	Medium Expression	protein tyrosine kinase family protein
Potri.005G150400	Medium Expression	NA	oligopeptide transporter 4
Potri.013G152100	NA	Low Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.011G074000	Not Expressed	Not Expressed	unknown
Potri.001G319200	Not Expressed	NA	HXXXD-type acyl-transferase family protein
Potri.015G051200	NA	Not Expressed	ATPase subunit 6-1
Potri.005G228600	NA	High Expression	unknown
Potri.001G405200	NA	High Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.011G067600	NA	Medium Expression	CBL-interacting protein kinase 12
Potri.008G215700	NA	Low Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.008G178700	NA	High Expression	NAD(P)-binding Rossmann-fold superfamily protein
Potri.003G126600	NA	High Expression	transcription factor jumonji (jmjC) domain-containing protein
Potri.001G362100	NA	High Expression	CBS domain-containing protein / transporter associated domain-containing protein
Potri.016G095700	Medium Expression	NA	Protein kinase superfamily protein
Potri.010G005500	High Expression	NA	Pectin lyase-like superfamily protein
Potri.014G195200	NA	Medium Expression	Leucine-rich repeat receptor-like protein kinase family protein
Potri.019G036500	NA	Low Expression	Exostosin family protein
Potri.001G145400	NA	Low Expression	unknown
Potri.017G090800	High Expression	High Expression	galacturonosyltransferase 14
Potri.004G106400	Low Expression	Low Expression	Methylenetetrahydrofolate reductase family protein
Potri.015G038700	High Expression	High Expression	Auxin efflux carrier family protein
Potri.008G200900	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.001G438500	Low Expression	NA	FAD/NAD(P)-binding oxidoreductase family protein
Potri.011G081600	NA	Low Expression	Metallo-hydrolase/oxidoreductase superfamily protein
Potri.014G049300	High Expression	NA	Hyaluronan / mRNA binding family
Potri.001G323000	NA	Low Expression	unknown
Potri.004G015300	NA	High Expression	Peroxidase superfamily protein
Potri.001G259000	NA	Medium Expression	transferases;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferases
Potri.003G056100	NA	Medium Expression	structural molecules
Potri.017G081600	NA	Medium Expression	Glutaredoxin family protein
Potri.018G068000	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.007G048000	Medium Expression	NA	small RNA degrading nuclease 3
Potri.012G022700	Medium Expression	Medium Expression	cleavage and polyadenylation specificity factor 160
Potri.003G009900	NA	Medium Expression	pumilio 6
Potri.006G153100	NA	Medium Expression	protein kinase family protein / WD-40 repeat family protein
Potri.014G028900	NA	High Expression	Protein kinase family protein
Potri.011G082800	NA	High Expression	ornithine-delta-aminotransferase
Potri.010G065300	NA	Not Expressed	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.015G070200	Low Expression	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.019G004000	NA	Medium Expression	Putative endonuclease or glycosyl hydrolase
Potri.019G078700	Medium Expression	Medium Expression	MUTL-homologue 1
Potri.006G064200	High Expression	High Expression	calmodulin-binding receptor-like cytoplasmic kinase 3
Potri.018G114500	High Expression	High Expression	RING/U-box superfamily protein
Potri.006G212700	Low Expression	NA	Glutaredoxin family protein
Potri.019G048700	NA	High Expression	TLC ATP/ADP transporter
Potri.004G132300	NA	High Expression	alpha-mannosidase 3
Potri.019G020100	NA	High Expression	Cysteine/Histidine-rich C1 domain family protein
Potri.004G185800	NA	High Expression	60S acidic ribosomal protein family
Potri.008G220300	Not Expressed	NA	unknown
Potri.005G144600	Medium Expression	Medium Expression	Eukaryotic aspartyl protease family protein
Potri.013G138900	NA	Low Expression	ribosomal protein S7
Potri.003G171800	Medium Expression	Medium Expression	chaperone protein dnaJ-related
Potri.014G123800	NA	Medium Expression	Protein of unknown function (DUF1624)
Potri.002G237600	NA	Medium Expression	Protein kinase superfamily protein
Potri.006G023200	Not Expressed	NA	UDP-glucosyl transferase 85A4
Potri.010G077700	NA	Medium Expression	CAMV movement protein interacting protein 7
Potri.004G074300	NA	Low Expression	Homeodomain-like superfamily protein
Potri.018G057000	NA	Not Expressed	phytochrome-associated protein 1
Potri.004G128600	NA	Medium Expression	unknown
Potri.012G107400	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.011G096300	NA	High Expression	Lactate/malate dehydrogenase family protein
Potri.011G073900	Not Expressed	Low Expression	Ycf1 protein
Potri.005G115100	NA	High Expression	zinc finger (Ran-binding) family protein
Potri.004G102400	NA	Medium Expression	unknown
Potri.001G472700	NA	High Expression	chloride channel F
Potri.013G141700	Not Expressed	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.T006600	Not Expressed	NA	unknown
Potri.001G300900	NA	High Expression	D-3-phosphoglycerate dehydrogenase
Potri.012G145100	NA	Low Expression	RNA binding (RRM/RBD/RNP motifs) family protein
Potri.004G232400	High Expression	High Expression	Leucine-rich repeat protein kinase family protein
Potri.010G029500	NA	High Expression	BTB-POZ and MATH domain 2
Potri.003G085800	High Expression	NA	SBP (S-ribonuclease binding protein) family protein
Potri.019G071300	NA	High Expression	unknown
Potri.002G245500	NA	High Expression	RING/U-box superfamily protein
Potri.019G020000	NA	Low Expression	peroxin-12
Potri.011G032700	Low Expression	NA	unknown
Potri.018G088300	High Expression	NA	hexokinase 1
Potri.006G083500	NA	Medium Expression	TBP-associated factor 12
Potri.014G019900	Medium Expression	NA	Protein of unknown function (DUF620)
Potri.011G049500	NA	Medium Expression	Clathrin light chain protein
Potri.005G077200	NA	High Expression	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Potri.015G067600	NA	High Expression	Galactosyltransferase family protein
Potri.006G173900	NA	Low Expression	glutamine dumper 3
Potri.009G033600	NA	High Expression	FTSH protease 10
Potri.002G198200	Medium Expression	NA	sucrose-phosphatase-related
Potri.017G088700	NA	High Expression	chorismate mutase 1
Potri.018G111900	NA	Not Expressed	Glycosyl hydrolase family protein with chitinase insertion domain
Potri.002G246400	NA	Medium Expression	unknown
Potri.008G202700	NA	Low Expression	RING/U-box superfamily protein
Potri.001G330400	NA	Medium Expression	unknown
Potri.005G204400	NA	Medium Expression	vacuoleless1 (VCL1)
Potri.004G081700	Medium Expression	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.011G003500	NA	Medium Expression	Homeodomain-like superfamily protein
Potri.016G115400	Medium Expression	NA	thylakoid ATP/ADP carrier
Potri.007G119800	NA	Medium Expression	DNA-binding storekeeper protein-related transcriptional regulator
Potri.001G320300	NA	Medium Expression	DNA repair-recombination protein (RAD50)
Potri.003G115900	NA	Low Expression	unknown
Potri.014G017500	Medium Expression	NA	Family of unknown function (DUF566)
Potri.010G045000	NA	Medium Expression	phosphoribosyl pyrophosphate (PRPP) synthase 3
Potri.006G038400	NA	High Expression	glutamate synthase 1
Potri.006G203300	Medium Expression	Medium Expression	NC domain-containing protein-related
Potri.018G100600	Medium Expression	Medium Expression	HAD-superfamily hydrolase, subfamily IG, 5\'-nucleotidase
Potri.017G052100	Low Expression	Medium Expression	UDP-glucosyl transferase 85A2
Potri.001G033900	NA	Medium Expression	ribonuclease P family protein
Potri.007G002200	NA	Medium Expression	cycloartenol synthase 1
Potri.004G135300	High Expression	High Expression	catalytic LigB subunit of aromatic ring-opening dioxygenase family
Potri.012G047500	Low Expression	NA	structural constituent of ribosome
Potri.012G038500	Low Expression	NA	homeodomain GLABROUS 11
Potri.013G147700	NA	Medium Expression	Wound-responsive family protein
Potri.013G006000	NA	Medium Expression	ATP-dependent helicase family protein
Potri.014G113800	NA	Low Expression	MuDR family transposase
Potri.005G149800	Medium Expression	NA	Inositol 1,3,4-trisphosphate 5/6-kinase family protein
Potri.019G068400	NA	High Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.004G037500	NA	Not Expressed	unknown
Potri.001G397800	NA	High Expression	Serine/threonine-protein kinase WNK (With No Lysine)-related
Potri.004G168800	High Expression	NA	rotamase CYP 3
Potri.016G068800	NA	Medium Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.006G094800	NA	Low Expression	plastid transcriptionally active 13
Potri.004G230300	NA	Medium Expression	AAA-type ATPase family protein
Potri.002G192900	Medium Expression	NA	RNA binding;abscisic acid binding
Potri.010G001500	Medium Expression	Medium Expression	Protein kinase superfamily protein
Potri.001G209800	NA	Medium Expression	unknown
Potri.004G040900	NA	High Expression	U2 snRNP auxilliary factor, large subunit, splicing factor
Potri.011G134900	NA	High Expression	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)
Potri.011G046400	NA	High Expression	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Potri.005G247000	NA	Medium Expression	Pseudouridine synthase family protein
Potri.001G416300	NA	High Expression	kinesin 3
Potri.013G089500	NA	High Expression	ATP-dependent Clp protease
Potri.013G090500	High Expression	NA	Protein kinase family protein with ARM repeat domain
Potri.018G086300	Medium Expression	Medium Expression	CDC27  family protein
Potri.012G089500	Low Expression	NA	quinolinate synthase
Potri.017G094500	NA	Medium Expression	ABI five binding protein 2
Potri.017G084500	NA	High Expression	Ribosomal protein L34e superfamily protein
Potri.001G243400	High Expression	High Expression	pumilio 2
Potri.008G186300	Not Expressed	Not Expressed	DORNROSCHEN-like
Potri.002G204700	Low Expression	NA	unknown
Potri.015G013100	Medium Expression	NA	Calcium-binding EF-hand family protein
Potri.003G080000	NA	High Expression	Phosphotyrosine protein phosphatases superfamily protein
Potri.017G083900	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.012G041200	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.014G043300	High Expression	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.008G182000	Medium Expression	Medium Expression	OxaA/YidC-like membrane insertion protein
Potri.011G039800	NA	High Expression	Adenine nucleotide alpha hydrolases-like superfamily protein
Potri.017G088300	NA	Medium Expression	WRKY DNA-binding protein 3
Potri.010G023100	NA	Medium Expression	carbamoyl phosphate synthetase B
Potri.002G239800	NA	Low Expression	Rhodanese/Cell cycle control phosphatase superfamily protein
Potri.014G052700	Medium Expression	NA	Protein kinase superfamily protein
Potri.003G201400	NA	High Expression	Plant calmodulin-binding protein-related
Potri.009G029100	NA	Medium Expression	63 kDa inner membrane family protein
Potri.005G245400	Medium Expression	Medium Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.013G076100	NA	Medium Expression	root cap 1 (RCP1)
Potri.015G014800	NA	High Expression	unknown
Potri.004G085600	Medium Expression	High Expression	nudix hydrolase homolog 4
Potri.019G075600	Medium Expression	NA	Integrase-type DNA-binding superfamily protein
Potri.005G173900	Low Expression	NA	Pathogenesis-related thaumatin superfamily protein
Potri.008G112200	NA	High Expression	phosphoinositide 4-kinase gamma 7
Potri.002G152500	High Expression	High Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.003G148700	NA	Medium Expression	Vacuolar sorting protein 39
Potri.013G131300	NA	High Expression	glucan synthase-like 5
Potri.005G146700	NA	Low Expression	squalene epoxidase 2
Potri.001G003800	High Expression	NA	Protein of Unknown Function (DUF239)
Potri.014G053600	NA	Low Expression	TOXICOS EN LEVADURA 4
Potri.003G120600	Medium Expression	Low Expression	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
Potri.018G081400	NA	Medium Expression	SITE-1 protease
Potri.014G022100	NA	Medium Expression	F-box family protein
Potri.001G092000	NA	Medium Expression	Leucine-rich repeat (LRR) family protein
Potri.005G148700	NA	Not Expressed	SPT2 chromatin protein
Potri.017G080900	Low Expression	Not Expressed	unknown
Potri.005G142600	Medium Expression	Medium Expression	myb domain protein 73
Potri.016G032400	NA	High Expression	Basic-leucine zipper (bZIP) transcription factor family protein
Potri.002G237900	NA	Not Expressed	SU(VAR)3-9 homolog 4
Potri.012G032100	NA	Low Expression	manganese tracking factor for mitochondrial SOD2
Potri.005G075000	Medium Expression	NA	DNA-binding storekeeper protein-related transcriptional regulator
Potri.005G078300	NA	Medium Expression	Domain of unknown function (DUF966)
Potri.018G081300	High Expression	High Expression	proline extensin-like receptor kinase 1
Potri.003G051400	NA	Low Expression	unknown
Potri.015G130000	NA	High Expression	ribosomal protein S13A
Potri.014G189900	NA	Medium Expression	Helicase/SANT-associated, DNA binding protein
Potri.010G007000	NA	High Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.003G038400	Low Expression	Low Expression	Ribonuclease III family protein
Potri.007G081900	Low Expression	NA	related to KPC1
Potri.005G004500	Medium Expression	NA	Disease resistance protein (TIR-NBS class)
Potri.011G082900	Medium Expression	NA	F-box family protein
Potri.002G067800	NA	High Expression	Protein of unknown function (DUF793)
Potri.003G122600	NA	Not Expressed	hapless 2
Potri.018G072600	NA	High Expression	DNAJ heat shock N-terminal domain-containing protein
Potri.009G042600	NA	Medium Expression	Homeodomain-like transcriptional regulator
Potri.013G102800	NA	Medium Expression	12-oxophytodienoate reductase 2
Potri.011G052700	NA	High Expression	ketol-acid reductoisomerase
Potri.014G166400	Not Expressed	NA	Transducin/WD40 repeat-like superfamily protein
Potri.004G142100	NA	Not Expressed	Cyclin-dependent kinase inhibitor family protein
Potri.006G047000	NA	High Expression	S-formylglutathione hydrolase
